Base,Date,Timestamp,WST,IRR,TZS,VED,PLN,BRL,RSD,NGN,SSP,SDG,CNY,ANG,MOP,XOF,COU,CZK,LAK,MKD,IQD,SZL,AZN,MXV,SBD,AOA,EUR,GBP,XDR,CUC,LYD,SOS,SEK,HRK,BND,ZMW,BIF,HTG,XCD,HKD,USN,UYU,CHW,BSD,KMF,MDL,PEN,MGA,MVR,KWD,ALL,MNT,CLP,SRD,CLF,COP,HNL,OMR,CRC,UZS,SGD,NAD,ERN,ZAR,PKR,KHR,KZT,GIP,BAM,MUR,PAB,HUF,ILS,BMD,XSU,DJF,BOB,MWK,FKP,RON,YER,VUV,GTQ,PHP,FJD,PYG,BYN,CHF,GNF,AED,VND,RUB,LSL,MRU,KPW,CAD,LKR,CHE,SAR,SYP,XUA,JMD,UGX,NOK,MXN,NIO,UYI,NPR,BGN,ETB,ZWL,BZD,CDF,INR,AUD,RWF,XPF,KYD,ISK,DOP,QAR,KRW,BWP,BBD,SLL,JPY,DZD,THB,GYD,KGS,TOP,IDR,GEL,JOD,DKK,CVE,BDT,SVC,KES,EGP,GMD,LBP,BTN,CUP,ARS,UAH,AFN,AMD,VEF,NZD,MZN,TJS,MAD,TRY,PGK,SHP,TMT,TWD,AWG,TND,TTD,GHS,USD,BHD,LRD,MMK,XAF,STN,MYR,SCR,BOV
EUR,2019-01-01,2019-01-01 23:59:59,19.595878,1364.175563,1.146125,3.860719,130.544208,56.544091,353.702243,0.432124,4.735768,9.440981,8.834964,27.877201,10.004241,8.978425,11.44693,,1869.33039,95.937592,1.146125,,3024.839703,3.097461,1.95128,,8.547832,1.952542,1.146985,3719.978682,0.823373,1.80615,654.861691,1.56175,118.245649,2636.087814,39.335361,123.87253,1766.465841,,2.304626,,415.596739,,79.931086,9856.676916,1,127.632728,,203.689191,3.010887,3.382388,2.47649,31.771688,4.651546,795.410665,16584.432181,7.799325,1.588816,2.456777,0.028708,321.224395,1277.696279,2.288411,135.408935,22.502731,2.607551,10.769912,4241.696732,3990.178086,4.209945,890.59093,16.495044,110.55008,61.664833,146.242777,,1.707418,,286.877958,7.925857,7.883623,79.685631,654.8615,86.664284,133.38584,664.752692,,590.254107,9782.179005,32.210128,1.146125,1729.331445,209.557518,7.465839,12.2807,26584.947937,116.721606,554.799085,7.397551,160.22439,15.638855,1.125724,180.288749,10415.649943,16.49269,4.448573,80.055017,1.941196,239.408391,1.626271,16.440594,25.736702,0.952797,2.063025,30.372319,119.059607,78.999553,0.441141,88.396084,13.672981,4.283264,0.894455,493.836689,20.536263,1021.283546,6.062659,,17.718906,6819.158481,0.894108,369.459213,4593.903343,60.257521,691.130758,0.813175,0.898677,48257.602955,1031.603329,0.347734,9534.67283,1.513922,16.501511,10.163802,,54.443813,125.699572,2049.730374,57.930924,5.609481,4.269087,37.100651,,4.173328,43.156775,440.694653,9.911335,10.932542,1.562053,70.441053,34.97514,4.011438,3.071781,4.288055,17.19182,37.122742,3.727371,1.147099,9.223447,37.074289,2.029387
EUR,2019-01-02,2019-01-02 23:59:59,19.296958,1346.786104,1.131753,3.814572,129.479039,55.904516,349.621714,0.426665,4.682626,9.359088,8.749466,27.643091,9.907593,8.868021,11.303387,,1844.757139,94.967616,1.131753,,2985.810128,3.058619,1.926809,,8.440631,1.936712,1.132149,3662.918678,0.815323,1.783926,649.558308,1.542879,115.959541,2603.73348,38.762222,122.087866,1748.841513,,2.282519,,412.52551,,79.211302,9676.489009,1,127.118176,,201.135512,2.9733,3.350045,2.462978,31.373341,4.661661,788.628738,16308.278208,7.70605,1.572995,2.423535,0.028348,322.428908,1271.162225,2.266279,134.242908,22.208047,2.571358,10.666208,4206.329828,3944.159113,4.157158,896.847024,16.308034,109.993377,60.976022,143.574004,,1.70635,,283.334193,7.824092,7.766205,79.280652,658.679869,85.277332,133.456658,656.41692,,582.852884,9670.82941,32.170067,1.131753,1712.34247,207.043133,7.466741,12.116557,26251.577381,115.659444,549.42649,7.422885,157.313639,15.442199,1.119134,178.255645,10423.445193,16.30842,4.289175,79.051137,1.955779,236.966289,1.635954,16.308521,25.753837,0.943532,2.037155,29.991455,119.456799,78.159768,0.435753,87.344157,13.549315,4.237679,0.882835,491.237337,20.278784,990.2839,6.243091,,17.485556,6749.379225,0.882835,364.82626,4543.98808,59.495946,684.529051,0.803089,0.903928,47652.461098,1018.639367,0.343487,9439.952129,1.494933,16.512395,10.230323,,53.916707,121.602899,2042.814217,57.113905,5.539965,4.245376,36.759678,,4.120828,42.744063,435.170722,9.937979,10.890521,1.547782,69.551918,34.828544,3.972453,3.027451,4.298342,16.97632,36.714442,3.802326,1.132262,9.134829,36.533235,2.009764
EUR,2019-01-03,2019-01-03 23:59:59,19.600301,1355.476311,1.139056,3.834081,131.103677,56.326522,351.87766,0.429475,4.718541,9.321232,8.806552,27.883948,9.964469,8.920117,11.376319,,1856.660501,95.637392,1.139056,,3024.866214,3.078355,1.939245,,8.495111,1.963959,1.138999,3695.666295,0.819591,1.794964,658.636287,1.535436,118.404801,2619.827881,39.299676,123.492137,1758.923597,,2.295653,,414.616322,,80.115491,9767.402649,1,127.892673,,202.43309,2.997137,3.449915,2.486786,31.575787,4.662955,790.275898,16374.438601,7.722171,1.583334,2.432337,0.02853,321.017747,1281.57475,2.279592,135.066191,22.347707,2.596248,10.742659,4242.356144,3969.609859,4.183979,820.119771,16.322983,110.658885,61.67417,145.434315,,1.703258,,285.048396,7.869679,7.8277,79.921794,664.069648,85.785133,133.781876,660.652741,,586.613864,9744.621546,32.389044,1.139056,1719.402945,208.34532,7.46716,12.3189,26420.967036,116.417218,552.64668,7.433596,158.385369,15.540705,1.124586,180.02751,10490.702989,16.323035,4.278974,79.561219,1.955076,237.897523,1.625831,16.32305,25.652785,0.94905,2.0503,30.184977,119.772014,78.474219,0.438531,88.400988,13.667512,4.24526,0.888429,492.356489,20.398192,996.673758,6.23428,,17.598482,6810.530235,0.888429,367.18032,4573.308831,59.999723,689.03743,0.80828,0.902007,47959.941626,1025.231235,0.345532,9494.029817,1.504582,16.315877,10.258225,,54.232706,122.807251,2063.968971,57.493847,5.575692,4.271687,36.951005,,4.14742,42.657142,433.786725,9.900547,10.858054,1.554356,69.989285,35.171734,3.998086,3.035586,4.291854,17.085886,36.928514,3.70438,1.138885,9.186823,36.654979,2.021479
EUR,2019-01-04,2019-01-04 23:59:59,19.586728,1356.071268,1.139556,3.820707,128.70335,56.345377,352.331821,0.429567,4.697025,9.348289,8.807858,27.873975,9.973791,8.927906,11.381317,,1852.91796,95.552201,1.139556,,2995.845289,3.079707,1.940098,,8.49885,1.953431,1.139727,3638.601309,0.819393,1.796037,655.134682,1.524099,118.354679,2621.438045,39.216714,123.532382,1760.389902,,2.297516,,414.798662,,79.227654,9743.201512,1,126.912746,,202.522285,3.019433,3.379585,2.47597,31.589666,4.661471,776.269792,16210.806407,7.723966,1.589725,2.444393,0.028543,320.922115,1272.713206,2.281277,134.935237,22.132495,2.5938,10.730114,4245.813976,3982.747522,4.185635,822.742157,16.330263,110.93746,61.689892,145.453327,,1.6915,,285.25932,7.875755,7.828069,79.245015,662.082233,85.831794,134.016097,660.942684,,586.871564,9746.054325,32.426103,1.139556,1721.531084,208.254237,7.467554,12.099849,26432.563943,116.286005,553.043516,7.434922,158.39863,15.547532,1.124155,179.62251,10483.912728,15.908632,4.233682,79.596146,1.955824,238.161486,1.600055,16.119058,25.560011,0.949768,2.05177,30.198226,119.510945,76.561093,0.438684,88.482515,13.649641,4.230082,0.900284,494.229628,20.40989,997.111226,6.079573,,17.617962,6823.830815,0.900284,367.341486,4581.014262,59.690354,689.010005,0.809431,0.895172,47980.992613,1025.524472,0.345404,9503.894813,1.505244,15.910823,10.216349,,54.274802,123.676417,2068.293572,57.530515,5.499159,4.274517,36.967616,,4.149408,42.570429,428.518957,9.813972,10.851424,1.549002,70.077021,35.09661,3.988445,3.043059,4.291913,17.093743,36.990396,3.829335,1.139841,9.196386,36.430499,2.022997
EUR,2019-01-05,2019-01-05 23:59:59,19.586728,1356.071268,1.139556,3.820707,128.695022,56.345377,352.331821,0.429567,4.697025,9.348289,8.807858,27.873975,9.973791,8.927906,11.381317,,1852.91796,95.552201,1.139556,,2995.193021,3.079707,1.940098,,8.49885,1.953431,1.139727,3638.601309,0.819388,1.796037,655.134682,1.524099,118.354679,2621.438045,39.223938,123.532382,1760.389902,,2.297516,,415.372295,,79.23905,9743.201512,1,126.912746,,202.522285,3.019363,3.379585,2.47597,31.589666,4.661471,776.269792,16211.319207,7.723966,1.589725,2.444393,0.028543,320.922115,1272.713206,2.281277,134.935237,22.131999,2.5938,10.730114,4245.813976,3982.747522,4.185635,822.742157,16.330263,110.93746,61.689892,145.453327,,1.6915,,285.25932,7.875755,7.828069,79.280598,662.082233,85.831794,134.016097,660.942684,,586.871564,9746.054325,32.426103,1.139556,1721.531084,208.254237,7.467554,12.099849,26432.563943,116.292096,553.043516,7.434922,158.39863,15.547532,1.124155,179.62251,10483.912728,15.908632,4.233796,79.596146,1.955824,238.161486,1.601123,16.119058,25.560011,0.949768,2.05177,30.198226,119.510945,76.561093,0.438684,88.482515,13.649641,4.230082,0.900284,494.229628,20.40989,997.111226,6.078053,,17.617962,6823.830815,0.900284,367.341486,4581.014262,59.70175,689.010005,0.809431,0.895172,47980.992613,1025.533259,0.345404,9503.894813,1.505244,15.910823,10.216349,,54.274802,123.676417,2068.293572,57.530515,5.499159,4.274517,36.967616,,4.149408,42.570429,428.518957,9.813972,10.851424,1.549002,70.077021,35.096079,3.988445,3.043059,4.291913,17.093743,36.990396,3.829335,1.139841,9.196386,36.430499,2.022997
EUR,2019-01-06,2019-01-06 23:59:59,19.611735,1357.804237,1.141012,3.825584,131.149651,56.417346,352.782076,0.430116,4.706106,9.360234,8.819108,27.909103,9.986536,8.937375,11.395854,,1855.285667,95.67367,1.141012,,3032.394811,3.083642,1.942572,,8.509695,1.955923,1.141183,3643.251199,0.820296,1.798332,655.963339,1.525556,118.505565,2624.782184,39.273652,123.691873,1762.614823,,2.300451,,415.896622,,79.34027,9755.652659,1,127.074672,,202.780357,2.999944,3.383896,2.479134,31.629983,4.662288,777.259666,16286.804767,7.733836,1.591668,2.447445,0.028579,321.046272,1272.683908,2.284192,135.107567,22.132094,2.597114,10.743826,4251.239387,3987.836983,4.190879,823.79349,16.350658,111.079227,61.76867,145.638434,,1.692269,,285.623822,7.885819,7.838069,79.340139,662.928266,85.94123,134.194794,661.786967,,587.620778,9758.508742,32.467474,1.141012,1723.732669,208.519892,7.467273,12.115282,26466.343,116.44036,553.75023,7.444418,158.600531,15.567399,1.12485,179.851973,10497.310318,15.928345,4.239088,79.697858,1.958318,238.465745,1.601776,16.1396,25.580695,0.950982,2.054392,30.236817,119.663638,77.122115,0.439244,88.595584,13.66707,4.235488,0.901434,494.855118,20.408164,998.385468,6.079267,,17.640349,6832.550413,0.901434,367.810924,4586.868129,59.777598,689.88984,0.81046,0.896031,48042.309035,1026.948489,0.345841,9516.040168,1.507164,15.969265,10.218618,,54.344105,123.831768,2070.936714,57.603957,5.506182,4.27982,37.014457,,4.154709,42.569983,429.066499,9.821175,10.865284,1.550523,70.166499,35.14085,3.993542,3.046705,4.291836,17.115474,37.037183,3.834188,1.141297,9.208138,36.443509,2.025581
EUR,2019-01-07,2019-01-07 23:59:59,19.674528,1367.197589,1.147941,3.846176,131.043101,33.204226,354.924381,0.432756,4.72355,9.221754,8.870711,28.101173,10.043736,8.994748,11.465062,,1865.404171,96.337517,1.147941,,3056.803635,3.102367,1.954368,,8.561327,1.962347,1.147883,3652.173913,0.823388,1.809268,658.160013,1.52659,119.248066,2643.625676,39.14133,123.747186,1769.493047,,2.31391,,418.419791,,80.154976,9843.593519,1,127.633828,,204.0116,2.990188,3.466728,2.500387,31.885194,4.66296,782.034272,16174.487014,7.790788,1.595729,2.44873,0.028753,321.162812,1282.70681,2.286124,135.526359,22.234013,2.604567,10.813087,4280.78364,4017.792638,4.216616,837.364621,15.921807,110.684413,62.151808,146.959915,,1.699974,,287.387023,7.931985,7.8646,80.145225,664.063606,86.78068,135.261719,666.38007,,591.189613,9814.894443,32.578905,1.147941,1731.666045,209.223569,7.467791,12.097,26627.062706,116.917458,557.015101,7.424195,159.592455,15.663634,1.124181,181.001577,10561.056573,15.921743,4.288249,80.181834,1.955861,240.596972,1.606886,15.921907,25.573484,0.95651,2.066294,30.420433,120.39751,76.663282,0.441974,89.120432,13.654783,4.256392,0.906573,492.638486,20.568235,998.708567,6.18143,,17.735747,6909.858435,0.907237,370.044495,4608.982152,60.181371,693.919272,0.814584,0.897914,48334.050768,1033.202908,0.347906,9576.122865,1.516317,15.928482,10.208994,,54.660925,124.690451,1058.401492,57.942305,5.630681,4.306098,37.204386,,4.179766,42.821571,431.591148,9.789293,10.883741,1.556261,70.592659,35.377281,4.029272,3.070698,4.296146,17.219193,37.273314,3.857942,1.147998,9.264572,36.661798,2.03762
EUR,2019-01-08,2019-01-08 23:59:59,19.774955,1363.232809,1.145574,3.826794,130.429281,56.786351,355.193221,0.431824,4.716101,9.337232,8.850531,28.043504,10.0244,8.980554,11.44142,,1862.702677,96.15489,1.145574,,3051.542167,3.095971,1.95034,,8.543684,1.954292,1.145746,3622.247043,0.822824,1.805345,655.462722,1.517828,118.334174,2634.932617,39.290894,124.237771,1760.977622,,2.309366,,416.422118,,80.591516,9823.295345,1,128.59642,,203.59161,2.974882,3.456764,2.471862,31.819494,4.669239,779.449084,16204.141249,7.75857,1.592708,2.438525,0.028694,321.837622,1285.390544,2.281754,135.360916,22.158718,2.594498,10.808775,4279.118866,4020.963841,4.207921,833.97744,15.957555,110.495746,61.578028,146.954238,,1.699791,,286.79418,7.916889,7.850844,80.398736,663.287455,86.615455,136.223708,670.160829,,589.970658,9798.092226,32.625685,1.145574,1727.811382,209.170594,7.466731,12.09844,26572.156829,116.665612,554.881312,7.428818,159.406434,15.632488,1.123613,181.286968,10539.278601,86.410553,4.254553,80.006632,1.956468,239.808701,1.599448,15.957936,25.643438,0.95467,1.884182,30.357705,119.884425,76.663513,0.441035,89.00249,13.663247,4.236903,0.893525,492.941467,20.53384,1008.104935,6.281756,,17.710642,6873.901076,0.893524,369.281451,4599.479125,60.251469,692.006714,0.812904,0.899396,48234.384211,1031.07575,0.347189,9562.104001,1.513185,15.993702,10.210727,,54.556233,124.616678,2079.216428,57.834308,5.612509,4.29699,37.18511,,4.170747,43.005972,429.773019,9.777928,10.87601,1.55483,70.498705,35.319196,4.009508,3.052973,4.296188,17.183306,37.254325,3.849987,1.145517,9.250452,36.678968,2.033627
EUR,2019-01-09,2019-01-09 23:59:59,19.776662,1379.143004,1.155448,3.851629,131.683616,57.235136,358.254799,0.435552,4.741968,9.417713,8.928899,28.196976,10.114389,9.055883,11.540032,,1878.758751,97.004453,1.155448,,3077.565916,3.122657,1.967153,,8.617303,1.973217,1.155853,3621.232517,0.826075,1.820743,661.805779,1.526584,118.436049,2657.415254,39.604723,124.788105,1774.768167,,2.329904,,422.177774,,81.529005,9907.968222,1,130.32877,,205.34679,3.009639,3.411001,2.494324,32.093702,4.672865,781.083066,16332.260692,7.82614,1.603473,2.441289,0.028941,321.156813,1293.720986,2.301942,136.071374,22.208752,2.619228,10.905409,4311.326993,4132.171503,4.244194,839.606332,16.037458,111.251757,61.895628,148.68312,,1.701669,,289.266438,7.986863,7.876226,81.581309,661.805732,87.725102,137.174523,675.937253,,595.055907,9892.376838,32.51375,1.155448,1743.051505,210.822843,7.466508,12.206123,26801.199355,117.682962,560.149756,7.426881,161.623609,15.766056,1.125459,182.849493,10539.071954,87.155825,4.253788,80.704475,1.956405,241.916019,1.610291,16.155485,25.636392,0.963315,1.900423,30.619378,120.328307,77.054181,0.444825,89.706108,13.784432,4.246618,0.913306,497.167743,20.696965,1033.837301,6.327928,,17.863019,6935.269656,0.91257,372.464526,4639.010279,60.474985,700.43849,0.819908,0.902769,48650.147857,1039.981668,0.349905,9636.380806,1.526232,16.013244,10.243557,,55.040353,125.010836,2073.162982,58.36744,5.660889,4.335068,37.548028,,4.207012,43.168662,434.228675,9.776779,10.911125,1.563441,71.123612,35.502314,4.044069,3.079251,4.301907,17.332079,37.586394,3.757691,1.155853,9.333422,36.879599,2.051671
EUR,2019-01-10,2019-01-10 23:59:59,19.683307,1370.484163,1.1507,3.847916,130.564463,56.965432,357.007073,0.433918,4.714993,9.281092,8.895027,28.088404,10.071908,9.019707,11.492619,,1869.887868,96.601152,1.1507,,3065.994173,3.109825,1.95907,,8.581882,1.952681,1.151103,3610.32247,0.824085,1.813487,654.909592,1.5237,118.441379,2649.598887,39.478171,125.092824,1761.148035,,2.320274,,420.005354,,81.389594,9896.022907,1,129.275486,,204.501807,2.980359,3.398766,2.478321,32.537228,4.679093,777.985419,16173.093963,7.794787,1.599583,2.432293,0.028822,321.246776,1285.965729,2.292483,135.696322,22.018079,2.60018,10.859562,4282.044003,4102.247109,4.226755,837.802079,16.006043,110.483924,61.653382,148.164571,,1.69615,,288.128137,7.953814,7.811526,81.114131,659.94419,86.992029,137.750503,673.159975,,592.610353,9847.804026,32.8007,1.1507,1738.535483,209.472999,7.464475,12.105235,26691.070866,117.152704,558.688127,7.427998,160.936962,15.703637,1.13237,181.810576,10586.443941,15.983561,4.270708,80.375152,1.950643,239.834772,1.601546,15.983677,25.575812,0.959223,2.071261,30.49356,119.500107,76.984388,0.443129,89.722993,13.727284,4.221149,0.897655,491.690569,20.62863,1012.616342,6.247101,,17.790109,6889.585289,0.89722,370.934036,4625.815746,60.117764,697.571823,0.816534,0.902276,48450.239743,1035.719725,0.348314,9599.142072,1.519964,15.953955,10.237668,,54.813628,124.624254,2088.521205,57.621321,5.621285,4.317601,37.409543,,4.189988,42.989786,431.983912,9.752872,10.896008,1.555635,70.878584,35.434614,4.027451,3.066597,4.29633,17.260563,37.455382,3.867479,1.150988,9.29352,36.730399,2.043182
